ticket_id,created_at,closed_at,category,subcategory,channel,priority,status,team,agent,region,customer_type,customer_age,attempts,has_attachment,sentiment,resolution_minutes,sla_minutes,sla_breached,satisfaction_score,text_length,cost_eur
T-0001,2026-04-19 08:01:00,2026-04-19 15:17:00,Antrag,Neuantrag,Web,medium,closed,Fachteam A,Ben,Mitte,Privat,71,2,False,neutral,436,480,False,4,31,271.96
T-0002,2026-04-08 09:22:00,,Termin,Verschiebung,Web,medium,open,Service Desk,Deniz,West,Privat,66,1,False,neutral,95,480,False,,325,31.49
T-0003,2026-08-07 11:55:00,2026-08-07 13:27:00,Termin,Absage,Telefon,medium,closed,Service Desk,Deniz,West,Partner,52,2,False,neutral,92,480,False,5,675,30.23
T-0004,2026-01-09 13:25:00,,Zugang,2FA,Web,low,in_progress,Identity,Farid,Nord,Privat,68,3,False,neutral,110,720,False,,683,71.93
T-0005,2026-04-13 13:14:00,2026-04-13 16:35:00,Abrechnung,Gutschrift,Telefon,low,closed,Service Desk,Jonas,Ost,Organisation,38,2,False,negativ,201,720,False,4,415,65.41
T-0006,2026-07-16 13:07:00,2026-07-16 18:47:00,Antrag,Status,App,medium,closed,Fachteam A,Ben,Mitte,Organisation,40,2,False,neutral,340,480,False,2,679,187.04
T-0007,2026-01-29 13:56:00,2026-01-29 18:19:00,Abrechnung,Zahlung,Telefon,low,closed,Finance,Jonas,West,Privat,,1,True,neutral,263,720,False,5,570,181.78
T-0008,2026-04-19 11:59:00,2026-04-19 12:32:00,Termin,Verschiebung,App,medium,closed,Service Desk,Eva,Mitte,Organisation,74,1,False,negativ,33,480,False,4,90,13.17
T-0009,2026-01-09 13:04:00,2026-01-09 15:13:00,Technik,Performance,Web,medium,closed,Backend,Aylin,Süd,Privat,78,3,False,neutral,129,480,False,4,121,59.7
T-0010,2026-03-28 09:15:00,2026-03-28 10:59:00,Zugang,Benutzername,E-Mail,medium,closed,Identity,Ben,Nord,Privat,27,3,False,neutral,104,480,False,5,76,54.09
T-0011,2026-02-24 14:57:00,,Antrag,Neuantrag,App,critical,waiting,Fachteam A,Carla,Ost,Privat,72,2,True,negativ,294,120,True,,773,170.12
T-0012,2026-03-22 08:03:00,,Allgemein,Information,Web,low,in_progress,Service Desk,Jonas,Mitte,Privat,41,1,True,negativ,40,720,False,,94,13.1
