text,label
antrag,Ich möchte einen neuen Antrag stellen und benötige Informationen zu den erforderlichen Unterlagen.
antrag,Wo kann ich das Antragsformular herunterladen und wie reiche ich es ein?
antrag,"Ich habe einen Antrag begonnen und möchte wissen, welche Nachweise noch fehlen."
antrag,"Bitte teilen Sie mir mit, wie ich einen Antrag digital einreichen kann."
antrag,Welche Dokumente brauche ich für die Antragstellung?
antrag,Ich möchte meinen Antrag ergänzen und weitere Unterlagen nachreichen.
antrag,Wie lange dauert die Bearbeitung eines neu eingereichten Antrags?
antrag,Kann ich einen Antrag auch online stellen?
antrag,"Mein Antrag ist vorbereitet, wohin muss ich ihn senden?"
antrag,Ich brauche Hilfe beim Ausfüllen des Antragsformulars.
termin,Ich möchte einen Termin vereinbaren.
termin,Kann mein Termin auf nächste Woche verschoben werden?
termin,Ich kann den vereinbarten Termin nicht wahrnehmen.
termin,Wann ist mein nächster Termin?
termin,Bitte bestätigen Sie mir den Termin am Montag.
termin,Ich benötige kurzfristig einen neuen Gesprächstermin.
termin,Wie kann ich einen bestehenden Termin absagen?
termin,Gibt es diese Woche noch freie Termine?
termin,Ich möchte meinen Termin auf einen späteren Zeitpunkt verlegen.
termin,Wo findet mein vereinbarter Termin statt?
nachweis,Ich möchte einen fehlenden Nachweis nachreichen.
nachweis,Welche Nachweise werden noch von mir benötigt?
nachweis,Ich habe die angeforderten Dokumente als Nachweis beigefügt.
nachweis,Kann ich den Nachweis auch digital hochladen?
nachweis,Mein Nachweis wurde offenbar nicht berücksichtigt.
nachweis,Bitte bestätigen Sie den Eingang meiner Unterlagen.
nachweis,Ich reiche die fehlende Bescheinigung nach.
nachweis,Welche Form muss der geforderte Nachweis haben?
nachweis,Die benötigte Bescheinigung liegt mir jetzt vor.
nachweis,Ich möchte zusätzliche Dokumente als Nachweis einreichen.
allgemeine_anfrage,Wo finde ich allgemeine Informationen zu Ihrem Angebot?
allgemeine_anfrage,An wen kann ich mich mit einer allgemeinen Frage wenden?
allgemeine_anfrage,Welche Öffnungszeiten hat die zuständige Stelle?
allgemeine_anfrage,Ich benötige allgemeine Informationen zum Ablauf.
allgemeine_anfrage,Wo finde ich die Kontaktdaten der zuständigen Stelle?
allgemeine_anfrage,Welche Möglichkeiten zur Kontaktaufnahme gibt es?
allgemeine_anfrage,Ich habe eine allgemeine Frage zu Ihrem Service.
allgemeine_anfrage,Wo kann ich weitere Informationen erhalten?
allgemeine_anfrage,Welche Stelle ist für mein Anliegen zuständig?
allgemeine_anfrage,Ich benötige eine allgemeine Auskunft.
